cleaned,classes
এই গল্প টা সেম আমার মতো।বল্ক জিনিসটা এক বুক ভরা কষ্ট বয়ে আনে।এখন আমি তার বন্ধুর বউ,sadness
আমি কিছুটা অদ্ভুত মনে হচ্ছে,surprise
"মাননীয় প্রধান মন্ত্রী তার গদি নিয়ে বাস্ত তাহকবে না  আপনাদের আকুতি শুনবে!! কি আক্কেল এ দেশের লকজনের , আর একটা বেল্ট এর জন্য এই অবস্থা ,",anger
নূর নিজেদের লোক দিয়েই নিজেকে মেরেছে ছাত্রলীগকে ফাসানোর জন্য। নূরের এই নাটকের স্ক্রিপ্ট মেন্দি ফাসাদি দিয়েছে,disgust
"যে মানুষটির জন্য এই গানটি শোনা সেই মানুষটি এখন আর আমার কোথাও নেই,,আসলে প্রথম প্রেম কখনও স্থায়ী হয় না💔🙂",sadness
"আহারে বেচারা কতই বা বয়স,এখনো কতদুর বাকি আর এরই মধ্যে চইলা গেলো।আফসুস বাকিটা জীবন চুরি চুট্টামি কইরা কাটাইতে পারলোনা।",joy
মানুষ কতটা অসহায় হলে দুধের শিশু কোলে নিয়ে এই ভিড়ের মধ্যে টিসিবির পণ্য কিনতে আসে।,disgust
"ভোট দেয়ার সুযোগ পেল কোথায়, আপনারাতো সিল মেরেই ব্যালট পেপার পাঠিয়েছেন।",disgust
"তখন  অষ্টম বা নবমে পড়তাম চিনতাম না কে এনি,,,,,,,, কেনো জানি  অপূর্বের সাথে মিলাই ফেলতাম শুধু গান টা দেখে 😊",surprise
এযাবতকালের সবচেয়ে আলোচিত ও সমালোচিত মার্কিন প্রেসিডেন্ট নিঃসন্দেহে ডোনাল্ড ট্রাম্প   সালে রিপাবলিক পার্টি থেকে মনোনয়ন পাওয়ার পর তাকে নিয়ে বেশ হৈচৈ পড়ে গিয়েছিল ,surprise
কি কারনে যে আমি ছুলতান ছুলেমান ভুলতে  পারি না  কতবার যে দেখেছি তার হিসাব নেই,joy
যখন গানের সঙ্গে বাস্তবতা মিলে একাকার হয়ে যায় তখন গানটা এতটাই হৃদয়ে লেগে যায় যে নেশার মত প্রতিদিন শুনতে ইচ্ছা করে 💖,joy
"ওয়াওওও, আলহামদুলিল্লাহ!",joy
"তোমাকে পেয়ে গেলে এত সুন্দর গানটি শোনা হতো না প্রিয়....স্মৃতি রখে গেলাম, যুগ যুগ ধরে যখন এই গানটি মানুষ শুনতে আসবে তখন কেউ লাইক দিলে নোটিফিকেশন পেয়ে আমি তোমায় ভেবে এই গানটি আবার শুনবো প্রিয়।",joy
ওয়ানডে ও টি টোয়েন্টি র‍্যাঙ্কিং থেকে এর মাঝেই নাম কাটা গেছে সাকিব আল হাসানের  এক বছরের জন্য ক্রিকেট থেকে নিষিদ্ধ হয়েছেন বিশ্ব সেরা এই অলরাউন্ডার  সে কারণে গত সপ্তাহে প্রকাশিত ওয়ানডে ও টি–টোয়েন্টি র‍্যাঙ্কিং থেকে নাম সরিয়ে নেওয়া হয়েছিল তাঁর,sadness
আবারও নিগারের সেঞ্চুরি; বাঘিনীদের টানা চতুর্থ জয়,surprise
জনগণের জন্য ভয়ের পরিস্থিতি তৈরি করে তারাও ভয়ে আছে,fear
ও পুলিশ কর্মকর্তা কি এমন ভুল করল তার বিরুদ্ধে এমন ব্যবস্থা নেওয়া হয়েছে। আইন যে  ক্ষমতাশালীদের  কাছে অসহায় তাই প্রমাণ হলো আবার।,anger
ধর্মিয় শিক্ষা জোরদার করার পরিবর্তে সংবিধান থেকে বিসমিল্লাহির রাহমানির রাহিম মুছে ফেলার ষড়যন্ত্রের আলামত  হচ্চে এ সব ঘটনা।,disgust
আর্জেন্টিনার একটি শিরোপা প্রাপ্য। মেসি এবং আর্জেন্টিনার একটি শিরোপা অবশ্যই প্রাপ্য ,joy
"আমরা কোন দেশে বাস করছি,, কোন সমাজে আছি যেখানে মেয়েরা নিরাপদে বাছতে পারে না,,দেশের আইন মেয়েদের কোন নিরাপত্তা দিতে পারে না,, ",anger
হা হা ট্রাম্পের খবর পেলে রেন্ডিয়ান বালকাতার রিফুজি কাংলুরা ধুতি ড্যান্স মারে ,disgust
সরকার তোকে ইমরান এইচ সরকার বানিয়েছে আর তুই সরকারের বিরুদ্ধে নসিহত করছ ?,anger
পাগল  যে সে কিন্তু ভালো  মন্দের কিছু  বঝে না সবাই  দেখেন  মাথায়  কাপড়  দিয়ে আছে  তার ম্যনে আরা সবাই ভাল  মানুষ,disgust
এটা পেলান্টি না ভাই এটা পেনাল্টি ,anger
একদিন ইন্ডিয়ান দের বেয়াদবির কারনে মন খারাপ হয়ে যেতো...খেলোয়ার দের...তারা বুজিয়ে দিলো খেলার সাথে সাথে প্রতিবাদ টুকুও মাঠেই করতে হবে ,joy
"মৌলভীবাজারে ৭ টি উপজেলা। দর্শক পর্বে চারটি প্রশ্ন করা হয়েছিল, যার দুটিই ছিল রাজনগর উপজেলা নিয়ে😍😍",surprise
কিছুই বলার নেই। ভাষা হারিয়ে ফেলেছি।,sadness
প্রতেকটা মা আর মেয়ের এরকম সাহসি হওয়া উচিত তাহলেই অইসব  লুচ্চারা সাহস পাবে না বাসের লকগুলারে আগে শাস্তি দেওয়া দরকার কত্তো বড় খারাপ  হুমকি দেয় 😡😡😡🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,disgust
অবশ্যই একমত।এই কোটা সেই কোটা করতে করতে আমরা কোন সুযোগই পায় না।,anger
এরা হলো শিক্ষিত প্রতিবন্ধী জানোয়ার,anger
"চুরির বিচার যদি এভাবে জনগনের হাতে দেওয়া হয়,, সিলেটের রাজনের মত মরতে হবে এই শিশুদের,, ছেলেটিকে বাধার স্টাইলটা দেখে আমার চোখে ভেসে উঠেছে সেই সিলেটের রাজন হত্যার কাহিনী টি",fear
আমার ও এক জন ভালোবাসার মানুষ ছিল এখন সে অনেক দুরে তবুও তাকে খুব ভালোবাসি শুধু ছেলেদের কষ্ট হয় না মেয়েদের ও কষ্ট হয়,sadness
"সরকারী গোয়েন্দা পুলিশ বাহিনী 82 বছর বয়ষ্ক শফিক রেহমানকে অপহরণ করলো টিভি সাংবাদিকের ছদ্মবেশে, তাদের পরিচয়পত্র ও কার্ড ব্যবহার করে! অন্য দেশের পাসপোর্ট ব্যবহার করে এই ধরণের অপারেশন সাধারণত 'মোশাদ' এবং 'র' বিভিন্ন দেশে করে থাকে। 2013 সালে আন্ডার ওয়ার্ড ডন দাউদ ইব্রাহিমকে করাচিতে গিয়ে হত্যা করার জন্য 'র' এর এজেন্টরা বাংলাদেশি পাসপোর্ট ব্যবহার করেছিল।[১] 'র' এর হাতে বাংলাদেশি পাসপোর্ট কিভাবে গিয়েছিল, সে প্রশ্ন করে চেতনায় আঘাত দেবেন না প্লিজ। এটা ভেবে গর্ব বোধ করুন, আমাদের দেশের পুলিশ এখন ছদ্মবেশ ধারণে 'মোশাদ' বা 'র' এর পর্যায়ে চলে গেছে। 82 বছর বয়ষ্ক একজন বৃদ্ধ মানুষকে গ্রেফতার করার জন্য এমন রোমহর্ষক অভিযান কেন দরকার পরলো, কী অপরাধ করেছিলেন তিনি এটা জানার চেষ্টা করছিলাম। প্রথমে ডিবি পুলিশের পক্ষ থেকে বলা হলো, উনাকে রাষ্ট্রদ্রোহ মামলায় গ্রেফতার করা হয়েছে। তারপর শুনলাম আদালত উনাকে রিমান্ড দিয়েছে সজিব ওয়াজেদ জয়কে হত্যা চেষ্টার অভিযোগে! এরপর যদি ময়লার গাড়ি পোড়ানো বা যুদ্ধাপরাধের অভিযোগে উনাকে ফাঁসি দেয়, তাহলে অবাক হবেন না প্লিজ। একজন 82 বছর বয়ষ্ক বৃদ্ধকে যে বিচারক 5 দিনের রিমান্ড দিয়েছেন, তার একটা অটোগ্রাফ নিতে চেয়েছিলাম। পাছে উনি সেটাকে আদালত অবমাননা মনে করেন, তাই ইচ্ছেটা সংবরণ করেছি। বাংলাদেশ ব্যাংকের টাকা ডিজিটাল ডাকাতি, তনু হত্যা, ব্লগার হত্যা, এসব থেকে আলোচনার সরাতে এমন চমক দরকার আছে বৈকি। ১/ http://www.indiatvnews.com/news/india/india-missed-several-chances-to-kill-dawood-ibrahim-53933.html [ফুটনোট: এই স্ট্যাটাস পড়ে যদি আপনার মুক্তিযুদ্ধের চেতনা আহত হয়ে থাকে, তাহলে জানুন- 1971 সালে মুক্তিযুদ্ধের সময় লন্ডনে আবু সাঈদ চৌধুরীর নেতৃত্বে যে দলটি আন্তর্জাতিক পর্যায়ে মুক্তিযুদ্ধের পক্ষে জনমত তৈরী করছিল, শফিক রেহমান ছিলেন সেই দলের একজন সক্রিয় সদস্য। আর যদি আপনি সত্যি সত্যি বিশ্বাস করে থাকেন যে শফিক রেহমান বৃদ্ধ বয়সে মতিভ্রম হারিয়ে সজিব ওয়াজেদ জয়কে অপহরণ বা হত্যার চেষ্টা করেছেন, তাহলে এই নোটটি পড়ুন। https://www.facebook.com/notes/1055060641174791 ]",sadness
ছাত৾দের না থাকায় নিবন্ধন করতে অসুবিধা হচ্ছে,sadness
কি মায়া লাগাইলি মোরে😭😭😭 ,anger
প্রথম প্রথম কয়েকটা ভিডিওতে দেখেছিলাম এই মেয়ে এবং মেয়ের মা আলম হাসানকে চিনেনা বলে মন্তব্য করেছে!আলম হাসানকে অনেক হেনস্তা করেছে এই মেয়ে এবং মেয়ের মা এমনকি আলম হাসানকে মেরেছেও! এখন ডিবিসি নিউজ নতুন করে আবার কি আবিষ্কার করলো।,disgust
বাংলাদেশ সব কিছু পরিবর্তন চায়,anger
দারুন মজা পেলাম ,joy
যাদের পয়সা নষ্ট করার ইচ্ছা আছে তারা যেতে পারে এখানে 😎😎😎😎😎 ,sadness
 জিহাদ ও খেলাফতের সিলসিলা বইটিকে নামের কারনে এক অনলাইন পরিবেশক তাদের ওয়েবসাইটে রাখেন নাই  দুইজন পাঠক বইটির কারনে পুলিশের হাতে হয়রানি হয়েছেন ,sadness
হে ভগবান তুমি এদের উপযুক্ত শাস্তি দাও,anger
ভুলে ভুলে আমাদের জীবনটা শেষ মেয়ের কারনে কষ্ট ভোগ করতে হবে অবশেষে ভালোবেসে ,anger
উন্নয়ন আপনি করছেন নাকি যেই কয়টা উন্নয়নের কথা বলছেন তার তার বরাদ্দকৃত টাকা নিয়ে আপনার ফ্যামিলি উন্নয়ন করছেন যে উন্নয়নের কথা বলছেন এগুলো জনগণের টাকা আপনার কিছুই না উল্টা উন্নয়নের নামে পকেট ভারি করছেন আর সুমন ভাইকে গালি দিছেন ব্যবহারই বংশের পরিচয় আর কিছু বললাম না,disgust
আম্মুর নাম্বার বলে লাভ নাই  ছেলের বউ হিসাবে তুমাকে আমার মোটেই পছন্দ হয় নাই  এরকম বউ ঘরে আনলে ত পাশের বাসার ভাবিদের সামনে মুখ দেখাতে পারবো না  দেখো কিভাবে ফেসবুকে ভিডিও আপলোড করে রং তামাশা করতেছে   নির্লজ্জ মেয়ে কোথাকার  ,anger
"হিজরাদের মা, বাবা, ভাই, বোনরা বাড়ী থেকে বের করে দেয়া চরমভাবে নিস্ঠুর অমানবিকা। সন্তানকে বাড়ী থেকে বের করে দেয়া খুব কস্টের।",disgust
"আমি ও একমত সাইফ খান ভাই এর সাথে,,,,,@ Latifun Naher,,, সি এস ও যদি চোর বা চোরের সহযোগী না হয় তাহলে ম্যাজিস্ট্রেট সাহেব এর কাছে আসতে ভয় কিসের,,,???",disgust
ভিডিও অতিরিক্ত কালার হয়েগেছে ,anger
উনার জন্মের ঠিক নাই,anger
সুখ দিবে না ধড়া ,anger
সরকার এবং সরকার উভয়ই রেলিজিওন নিয়ে পজিটিভ কথা বলছে। ডালমে কুচ কালা হায়।,surprise
"স্বর্গ বেহেশত সম্পর্কে অামার ধারণা নেই , স্বর্গ বেহেশত বলতে যদি কিছু থাকে তাহলে আমি সৃষ্টিকর্তার কাছে প্রার্থনা করি হে সৃষ্টি কর্তা এই  মহান মানুষটিকে তুমি বেহেশতে নসিব দান করো।",sadness
"তার প্রতি কোনো অভিযোগ নেই , কারণ সে অনেক চেষ্টা করছে যত ভুল আমার ভালো থাকুক  সে",joy
ইউসুফ স্যার ইতিহাস হয়ে থাকবে অাপনার ভূমিকা ~ জাজাকাল্লাহ ~♥,joy
পাকিস্তান সিদ্ধান্ত নিতে বরাবরই ভুল করে। শান্তিপূর্ণ দেশ বিভাজন করে দেয়া / করতে দিতে দেয়া তাদের দ্বায়িত্ব ছিল। অভ্যন্তরিত বিষয়গুলোর সাথে আঞ্চলিক ও আন্তর্জাতিক বিষয়গুলোর সামাঞ্জস্য বিধান না করতে পারলে কি হয় তার পরিণাম বিশ্ব দেখেছে বার বার। নূন্যতম পক্ষে ততকালীন পূর্ব পাকিস্তান আক্রমণ করা ছিল পশ্চিম পাকিস্তানি নেতাদের একটা গোয়ার্তূমীপূর্ণ ভুল। দেরীতে পাকিস্তানি নেতারদের সেই বোধউদয় হলেও বাস্তবে তার কোন প্রতিফলন কোন কালেই দেখা যাবে বলে মনে হয় না।,fear
তাই আমি বাড়িতে পৌঁছেছি এবং কানাডা থেকে আমার খালা এলোমেলোভাবে আমার বাড়িতে বসে আছেন,surprise
"জীবন দিবেন, অথচ চাইতেছেন লাইক ",surprise
হাহাহাহাহা।ভাই এবার কিন্ত আপনাকে ও ছাড় দেওয়া হবে না!!! শুধু নিরবে নিরবে হাসতে ইচ্ছা করে(একা একা),joy
আমার ছোট ভাই টা ওও হাফেজ পড়ছে।ওর সব চেয়ে বড়ো আইডল নাজমুস সাকিব। ওর এবং আমার সব চেয়ে বড়ো ইচ্ছে একবার হলেও নাজমুস সাকিব কে সামনে থেকে তিলাওয়াত করতে দেখা ও সুনা। আল্লাহ যেন কবুল করে। আমিন।,joy
এখন তোমার টাকা আছে বলে শুশুর আপন। কিন্তু যখন প্রথমে  বিদেশে গিয়েছিল তখন তোমাকে কে টাকা দিয়েছিল।  তবে এটার প্রতিফল তোমি পাবে। খুব শীঘ্রই তোমি জানতে পারবে কে তোমার আপন।,disgust
"মেয়ে জাতি কি ভাবে একটা ছেলের ভবিষ্যত নষ্ট করতে পারে তাই বুজলাম। আপনারা নিজেরাই দেখেন সে বিয়ের  ৬ মাস আগে ড্রাগ এডিক্টেড ছিলো না। কিন্তু বর্তমানে সে ড্রাগ এডিক্টেড। কেউ নিজ ইচ্ছায় নিজের ভবিষ্যৎ নষ্ট হতে দিতে চায় না, কিছু মানুষের জন্য নষ্ট করতে বাধ্য হয়।🥲",surprise
সমাজের জন্য কোনদিনও দুজনে একসঙ্গে হতে পারব না তবুও দুজন দুজনকে পাগলের মত ভালবেসে যাওয়াটাও অনেক কষ্টকর 🥀,sadness
সারা বিশ্বে এই ধরনের ঘটনা সব সময় ঘটে আসছে. কিন্তু বাংলাদেশে যদি এমন ঘটনা ঘটে তাহলে সেটাই হাই লাইট হয়ে যায় বিশ্বের কাছে,surprise
 A on    xA    day   is better than a surprise on day X   xA      day is better than X number of surprises   xA   xA  QThot  flavoroflife  axioms ,surprise
"কোটা পদ্ধতি বাদ দাউ!...
তাইলেই দেশ উন্নতির মুখ দেখবে...",anger
"আমিও পড়ালেখা ছেড়ে দিয়েছি মেয়েটার জন্য।। একা বাসায় ছিলাম। আমার মেয়ের অনেকেই আছে কিন্তু কেউ ই নেই😢২য় মেয়েটার সময় ২৪ দিন হসপিটাল ছিলাম কিন্তু একটা লোক দেখতে যায়নি, অথচ এখন সবাই বাসায় এসে ভাব জমায়,টাকা চায় তখন মন চায় মাথা ফাটিয়ে দেই নিজের 😢",sadness
"বি এন পি এখন যেচে আসে ঝগড়া করতে চাইছে। পৌর নির্বাচনে এত্ত ভরাদুবিতেও এদের শিক্ষা হই নাই. সরকারকে অনুরোধ আরো কঠোর হাতে এইসব দমন করবে, আরো উচিত শিক্ষা দিবে.",anger
এতো ভালো মানুষেরা এখানে আসে কি করে কমেন্ট করতে ,sadness
এতটা বিশ্রী ভাবে তোমাকে কেনো মনে পড়ে😭😭😭 আমার আর ভালো লাগে না প্লিজ এইভাবে মনে পইরো না 😭😭,sadness
"আমি মনে করি টিসিবির পণ্য দরকার নাই।
এটা একটা উপহাস মাত্র।
মানুষকে হয়রানি করা ছাড়া আর কিছুই না",anger
নাউজুবিল্লাহ নাউজুবিল্লাহ নাউজুবিল্লাহ নাউজুবিল্লাহ। আল্লাহ আপনি সবাই কে হেদায়েত দান করেন। সহি বুঝ দান করেন। এই সব নোংরা কাজ থেকে সবাইকে হেফাজত করুন। আমিন,fear
"দালাল এডভোকেট ,,,,মিন্নির সরাসরি পার্টিসিপেট ছিলো হত্যায় ,,,,তার পর ও কিভাবে কারন দেখায় যে সরাসরি পার্টিসিপেট নেই ,,,,শালা বাইনচু*দ উকিল",anger
পুুলিশ সদর দপ্তরে নিয়ে আসা পদোন্নতি না পদাবনতি ঠিক বুঝলাম না।।,sadness
উদাস মনে ঘুরে বেড়িয়েছি সকাল সাঁজে মনেতে বিশাল মন আকাশের মতন ,joy
"গান টা শুনে শুধু নিরবে চোখের জল ঝরালাম,পানি গুলো আর আড়ালে আটকে রাখতে পারলাম ন,,,ওগো অভিমানী ফিরে তুমি আসোনি,,",sadness
অনেক অনেক ভাল লাগলো ,joy
Hehe    ছেলেরা এটাকে বিশ্বাস করবে না    এনজাগি কেভ   এন   সাইরাস জিচ বাবা ঠিক বর্ণিত ভেনেয়ে আলিরুকা বেড়ার সমকক্ষ ব্যাক,surprise
"না লিখে পারলাম না, আমার জীবনের সাথে মিলে গেল, বাচ্চা রেখে অফিস করা কত কষ্টের একজন মা ইতা ভালো জানে",sadness
হাসিমুখে যাদের বিয়ের রঙিন ছবি দেখছি  সেই আলো ঝলমলে রঙিন ছবির পেছনে আছে আর্থিক টানাপোড়েন কিংবা পরিবারের হাজারো দ্বন্দ্বের যুদ্ধজয়ের গল্প     সে গল্প কয়জনই বা জানে   ,sadness
"পাকিস্থানের জানা উচিত নিরাপত্বা পরিস্থিতি পাকিস্থান আর বাংলাদেশের এক সমান নয়। এই বিষয়টিকে ইস্যু করা পাকিস্থান বোডেরও বোকামি।আসল কথা বাংলাদেশে এসে যদি হোয়াইট ওয়াশ হয় তাহলে ওয়েস্ট ইন্ডিজ ৮ এ উঠে গেলে পাকিস্থানের জন্য খবর আছে। যাই হোক বাংলাদেশের সিদ্ধান্তকে স্বাগত জানাই। আমাদের খেলোয়ারদের জীবনের মূল্য ওনেক বেশী, সেটি যে কোন মানের দল হোক না কেন, জীবন সবই একই মূল্যবান।",sadness
মেধার জোরে আসে নাই স‍্যার  সরকারের দালালি করে এখানে আসছে  তাদের চেয়ে যোগ্য লোক বাংলাদেশে অনেক আছে সরকারের দালালি করতে পারে নাই বলে তাদের চাকুরী হচ্ছে না ,disgust
"আপনি প্রধানমন্ত্রী হিসেবে কুখ্যাত মঈন-ফখরুলের বিচার করেন নাই, তাদের সেইফ এক্সিট দিয়েছেন! একজন সন্তানহারা মা কিভাবে তার সন্তানকে যারা কষ্ট দিয়েছে তাদের হেফাযতকারীকে স্বাগত জানাবে?? সাংবাদিক বোন/সময় টিভি আপনাদের যদিও বিবেক নাই তারপরও কখনও উপরওয়ালার ভয় মনে জাগ্রত হলে ভেবে দেখবেন",disgust
"এখনও অহরহ সিম কিনতে পাওয়া যাচ্ছে কোন রকম তথ্য প্রদান না করেই......শুরুটা এখান থেকেই করা উচিত,তবে সেই শুরুটা যদি হয় প্রশ্নবিদ্ধ তাহলে কোন বাঁধাধরা নিয়ম কিছুই করতে পারবে না।",sadness
সরী টো সে দ্যাট মোসারফ করিমের অভার কনফিডেন্স গুলাই দিন দিন তার জনপ্রিয়তায় প্রশ্নবিদ্ধ করবে! ,anger
এটাই হচ্ছে আমাদের দেশের প্রকৃত বিচার ব্যবস্থা। নরমের কাছে যোম আর যোমের এর কাছে নরম।,disgust
ভালবাসি আমাকে আমার আমি হয়ে থাকতে দেওয়ার জন্য  আমাকে বোঝার জন্য  সব সময় সাপোর্ট দেবার জন্য ,joy
চুদিরপু তোর এত দরদ কেন?,anger
আমি দুটি সংক্ষিপ্ত রান এবং একটি হাঁটা পরিচালনা করতে পেরেছিলাম কিন্তু আজ আমি কেবল ভয়ঙ্কর লজ্জা বোধ করছি আমি লাল হয়ে চেহারা এবং লজ্জা বোধ করছি না,fear
সুনামগঞ্জের বিশ্বম্ভরপুর ও তাহিরপুর উপজেলার ৩৩ কেভি বিদ্যুত সঞ্চালন নির্মাণাধীণ লাইনের কাজ,surprise
"এখন কিছু খোলা আকাশের নিচে হাগু করা, প্রানীদের চুল্কানি উঠবে ",sadness
ছবি তুলছে কিন্তু সে গভীর মগ্ন কতদিন না দেখা তার বাবাকে দেখতে। কষ্ট লাগে হা হা রিয়েক্ট দেয়া দেখে।,disgust
ভাইয়া আবার ব্লক নোয়াখালীতে করুন ,joy
থ্যাঙ্কসগিভিংয়ের জন্য বাড়িতে এসে   সেলিংওয়াক্স এবং আমার পরিবারের বাকি সদস্যদের কাছে পেয়েছি   funstuff   থ্যাঙ্কসগিভিং ব্রেক,surprise
এক কথায় অসাধারণ ,joy
এইসব স্যার নামক পশুদের ফাঁসি হোক চাই  চট্টগ্রাম মেডিকেল কলেজের ডাক্তার রা অশিক্ষিত তাই প্লাস্টার করছে  আর ওই স্যারদের চামচামি যারা করে তাদেরকেও শুলে চড়াতে হবে,anger
পুরনো খবর ।,disgust
"আফ্রিদির প্রতি ভালোবাসার সাথে সাথে সম্মানটাও বেড়ে গেলো অনেক,,,আল্লাহ তোমার ভালো করুক😍 ",joy
দ্বিতীয় বিশ্বযুদ্ধ বা অক্ষশক্তি  মিত্রশক্তি সম্পর্কে বিন্দুমাত্র ধারণা না রেখেও গ্রামের সাধারণ মানুষ প্রত্যক্ষ করে এক ভয়াবহ মানবসৃষ্ট দুর্ভিক্ষ ,sadness
আমি এটির সাথে অদ্ভুত বোধ করি কারণ এটি বিক্রি শুরু হয়েছিল,surprise
"কমরেড পাশে আছি, এগিয়ে যান। লাল সালাম, বিপ্লব দীর্ঘজীবি হউক।",joy
"জীবনের বাকে বাকে ওনার ফ্ল্যাকচুয়েশন।সবচেয়ে সুন্দর লাগলো ওনার চিন্তাভাবনা,নিয়ত আর সততা।এবং এটাই প্রমানিত যে আল্লাহ সবসময় সৎ লোকের পাশে ছায়ার মতন থাকেন এবং প্রতিদান দিয়ে থাকেন।মাশাল্লাহ।আল্লাহ তা&#39;আলা ওনাকে হালাল আর ইসলামিক বিষয়গুলার প্রতি ভাল জ্ঞান দিয়েছেন। প্রত্যেকটা স্টুডেন্ট এর এই ভিডিও টা ফার্স্ট টু লাস্ট ভালোভাবে দেখা ও বোঝা উচিত।আল্লাহ তা&#39;আলা হালাল বিষয়গুলাতে আর ইসলাম সম্মত বিষয়গুলাতে কি পরিমান বরকত রেখেছেন এটা যে উপলব্ধি না করেছে সে বুঝবেনা।ওনাকে আর ওনার ওয়াইফ কে আল্লাহ দুধে ভাতে রাখুন।আমিন।",joy
বিচ্ছিন্ন দুই একটি অনিয়মকে বড় করে দেখিয়ে সারাদিন বিম্পি যে কান্নাকাটি করলো এই ফলাফলের পর এখন কি বলবে?,fear
দালালি করে আর কত?,joy
"বস বিসমিল্লাহ কাবার এর সেরা আইটেম হলো আমার মতে গুদ্ধা ফ্রাই,না খেলে জীবন বৃথা ",joy
"প্রায় প্রতিদিন যে এতটা ধরপাকড় হচ্ছে তবুও বিমানবন্দরের অসাধু কর্মকর্তাদের টনক নরে না , এমনকি অপরাধ করতে একটু ভয় পর্যন্তও পাচ্ছে না তারা । ম্যাজিস্ট্রেট সারেরা আর কি পদক্ষেপ নিলে অপরাধিদের মনে ভয় ধুকতে পারে ? আজীব দুনিয়া ।",disgust
আমার মনে হয় এটা একটা নতুন নাটক। #Mohtasim Billah Rashel,surprise
"সমাজটা বাজে মানুষে ভরে যাচ্ছে, আশ্চর্য হলাম অন্যদের নির্বিকার অবস্থা শুনে, বেশ কয়েক বছর আগে আমিও ঢাকাতে ছিলাম  আমি কখনো মানুষের বিবেক বুদ্ধি এভাবে লোপ পেতে দেখিনি উলটো কেউ কিছু করলে যে ভিক্টিম তার পাশে দাড়াতে দেখেছি।",disgust
এ দেশে জঙ্গিবাদের পৃষ্টিপোষক আপনারা জামাতের সাথে।জামাত না থাকলে এ দেশে কোন জঙ্গি থাকবে না. আর বি যেন পি তাদের সুবিধা লেভার আসতে জামাতকে প্রশ্রয় দিচ্ছে এক সাথে সংবাদ হয়েছে। এ দেশটাকে বার্থ রাষ্ট্রে পরিণত করতে আপনারা মুখে ফেনা তুলছেন,sadness
দামড়া  দল থেকে বাদ দেয়া হউক  কয়দিন পরেই যখন আবার ফর্মে আসবে অনেক ম্যাচ জয়ী ইনিংস খেলবে তখন আবার লাভ ইউ বলে বলে ফেনা তুলে ফেলবেন নাতো    ,disgust
এখনও শেষ রাত থেকে স্টাফ  এবং আমার মুরগি খুব ভাল ছিল,surprise
বিশাল লাল প্রাচীরের গায়ে সুবিশাল সিংহদ্বার পার হয়ে ঢুকেই আমি তো হতবাক,surprise
আমি এই পদক্ষেপটি সম্পর্কে উদ্বেগ বোধ করছি এবং উদ্বিগ্ন আমি আমার সমস্ত অর্থ উড়িয়ে দিয়েছি যা আমার রেগো প্রদান করার উদ্দেশ্যে হয়েছিল,fear
আফ্রিদি ভাই আপনাকে কিছু বলার নাই ভাই আপনারা অনেক সুন্দর মনের মানুষ আল্লাহ আপনাকে আরও অনেক বড় করুক ,joy
তার বাবার ঘনিষ্ঠ বন্ধুর ছেলে রিয়াসাতের সাথে।মনে মনে রিয়াসাতকে সে অনেক আগেই পছন্দ করত কিন্তু বলতে পারেনি কোনদিন।পরদিন তার বিয়ে হয় ,joy
একটা মেয়ে হাটহাজারি গরু বাজারে দাঁড়িয়ে থাকে খুব সুন্দর এবং উচ্ছ শিক্ষিত মনে হয়েছে চট্টগ্রাম  এসে খুজেন।,disgust
কিছু কিছু বাবা মা ও ছেলের বউ এর সাথে এমন আচরন করে যাতে করে ছেলে খারাপ হয়ে যায়,disgust
ছেলেটা যদি প্রধানমন্ত্রীর ছেলে হতো তাহলে আর মেয়েটা আশা অবৈধ  হতো না। আর পুলিশ বাহিনীর কথা কি বলব দেশে ১৬ কোটি মানুষ যে কি চোখে থাকে এটা সবাই জানে।,anger
এক টা মে লিখেছে আমি হেরে গেছি হেরে যাওয়ার কি আছে বাচ্চা পালা নিযের সংসার করা এটা কি হেরে যাওয়া বলে চাকরিটা বেশি হোয়ে গেলো যদি কেউ না ই থাকে বাচ্চা পালার,sadness
মৌলভীবাজার ঘুরে আসার সৌভাগ্য আমার হয়েছে তখন দেখে এসেছিলাম এই চায়ের কন্যাকে মাদপপুর লাউয়াছড়া শ্রীমঙ্গল ইত্যাদি ঘুরে এসেছি,joy
আপুর কাছে অনুরোধ একটু ধর্মীয় অনুশাসনের মধ্যে নিজেকে রাখবেন ইনশাআল্লাহ এই পরিস্থিতি ফেস করতে হবে না। একটু হলেও ভয় পাবে।,fear
"বলেন কি!!! ০৭/০৮ এর দিকে মিয়ানমার সমুদ্রসীমা নিয়ে ঝামেলা করেছে জানতাম কিন্তু এতকিছু হয়েছে সেটা জানতাম না। সারাক্ষন ইরাক, সিরিয়া, রাশিয়ার যুদ্ধ নিয়ে পড়ে থাকি অথচ নিজের দেশে এত বড় ঘটনা ঘটে গেল টেরই পেলাম না!! ",surprise
ভাই তোমাকে আজ স্বপ্নে দেখছি তুমি আমার বাড়িতে আসছো। এরকম টা কি হবে? ,surprise
শেখ সাদি সেই। ,joy
ভাই আমায় একদিন নিয়া জাইয়েন আমি অনেক খুশি হব ,joy
